KO_Class,KO_Subclass1,KO_Subclass2,KO_Number,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01601,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01602,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K05298,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03841,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K02446,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K11532,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01086,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K04041,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01100,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01595,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14454,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14455,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00814,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K14272,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01006,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01610,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K00051,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K03737,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01007,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01958,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01959,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01960,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18556,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18557,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18558,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18559,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18560,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18209,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K18210,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15230,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15231,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15232,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15233,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K15234,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K02160,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01961,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01962,,,,,,,,
Metabolism,Overview,01200 Carbon metabolism [PATH:ko01200],K01963,,,,,,,,
